Text,Sub-task A
"Name will be Kasturi Shankar and they call Jesus Christ, thats how wolfs 🐺
covered with goat 🐐 face...",NAG
I did,NAG
@Sreya Roy thanks,NAG
"RECENT PROTESTS r GLIMPSE of civil war which may start in next 10 yrs..  
1\. what is degree of preparedness of HINDU?  
2\. BJP govt is vital in STATE to curb JEHAD.  
3.NIA need to eliminate DIRECTORS of such show..  
  
But HINDU is worried about 100 rs onion, free electricity, GST..",CAG
@Vikram Matthews agree,NAG
Please share your opinion fight club and dark Knight quotes.,NAG
"The contemporary feminist lives such a comfortable life that she has the time
to complain about such trivial nonsense like manspreading and movie characters
being a little too masculine. And if she wanted to, she would make a video
about the movie, degrade it to the point that people would stop watching it
not caring about the hard work the creators put for it and a female host of
her channel would laugh about it and so would their audience. But I’m the one
who is sexist if I complain about it because according to feminist theory, I’m
privileged and the power structure gives advantages to men. What advantages?
They can’t say. And because of this power structure, sexism towards men
doesn’t exist. According to feminism, I am so privileged that I don’t even
have the right to talk about gender issues. All of my opinions are
automatically invalid because I’m a man. I am a man – I am evil, I am
disposable, I am privileged.  
The thing is, I actually do care about gender equality. I would gladly point
out real sexism when I see it being done against women, something which the
new wave feminists bafflingly neglect to do when it’s being perpetuated by
anyone. But feminists don’t return the favour. Their narrative is that I am
the cause of all the world’s problems and I have to be the one to change, to
make sacrifices and give more and more to them because of this imaginary
bogeyman called the “Patriarchy” which they claim gives me all the systemic
advantages in society. The concept of a patriarchy is essential to their
ideology and this core makes the ideology paint me as the oppressor and the
villain and I’m sick of it. I’m not a catcaller, I’m not a wife beater, and
I’m not a rapist. But I’m held accountable for the actions of the few men who
do these things and that’s bullshit. And it’s exactly the type of bullshit
being perpetuated by several social media sites and YouTube channels - the
idea that men are the problem, that we should be ashamed of what we are and
that masculinity is toxic and needs to be stamped out. Feminist may claim that
they don’t hate men but actions speak louder than words. If you call yourself
a feminist but if you agree that all of the things that I talked about are
wrong, then you need to stop calling yourself a feminist. You don’t need to
call yourself a feminist to be an advocate for equality. Feminism doesn’t hold
a monopoly on that as much as they like to think they do. And if you truly
value equality, you will drop the feminist label and stop trying to defend it
because it is – destructive, divisive, counter-intuitive, and predicated on
lies and misinformation. Feminism is bullshit and it is unworthy of respect.",CAG
"Hitesh Kumar watch this video at least once
[https://www.google.com/url?sa=t&source=web&rct=j&url=https://m.youtube.com/watch%3Fv%3DfN5xFCsClI8&ved=0ahUKEwjh54fflojXAhVJsY8KHUCbCS0QwqsBCB4wAA&usg=AOvVaw0E4BmZd_8pGeEsQq-
NygHn](https://www.google.com/url?sa=t&source=web&rct=j&url=https://m.youtube.com/watch%3Fv%3DfN5xFCsClI8&ved=0ahUKEwjh54fflojXAhVJsY8KHUCbCS0QwqsBCB4wAA&usg=AOvVaw0E4BmZd_8pGeEsQq-
NygHn)",NAG
You contact us at +306944127528 Phone number +33751085649,NAG
"Film rating should be 7.4/10  
Now, coming to pros - 1) Shahid Kapoor's acting.  
2) Kabir Singh character personification.  
3) Songs  
Cons - 1) No need to say about scenes.  
2) Kiara's acting  
3) Alcoholic...  
Overall this was a nice movie and one of the best in 2019.",NAG
nice movi,NAG
"@Shashank Singh then by that same logic films like lipstick under borkha or
veer de weeding also should not be made.. right .. coz it promotes misndric
attitude among woman. ..",CAG
"BJP has taken action in the past. Killed a journalist for talking against the
party.",NAG
She is not a sane person...She wants to break india.,CAG
Madarchod ...army is not a kids playground,NAG
169 dislikes from kids,NAG
Write boss,NAG
"You are dumb if you think that, nation building is the responsibility of the
people of the nation.. if they are getting influenced by films and doing wrong
thing the problem is with them not the movie",NAG
@awadh kishor where have you seen men being something else?,NAG
you are absolutely true bro...but even politicians supports them,NAG
@Alijah hussain mirza I MISS U 😭,NAG
Laughing soooooo hard😅😂🤣😅😅,NAG
"This is the limit man... How can someone openly say to give wrong information
to government and moreover some people are defending her on national
television...",NAG
"Kabir Singh is a black spot on Shahid Kapoor's career. After cult movies like
udta Punjab and Haider. we had a lot of expectations from him. But
disappointed.",CAG
Dog,NAG
kaisa hai launday ..,NAG
"Throw her out of nation . She is making a mockery of the whole bill. She
should not be heard Arundati we will call Kumphoo Kurt’s or Ranga bills . She
is sit . Get out of India . jail hind 🙏🏻🇮🇳",OAG
O M G very funny,NAG
So nice your video,NAG
What is this book about?,NAG
"The more scary fact is that people actually liked the movie
I completely appreciate shahid's acting but the message and the stoy which
this movie has ...
Man this is toxic but youth in india will soon become kabir singh
Scary.....",CAG
That'S NOT GOOD,NAG
This idiot is giving ideas to loose citizenship,NAG
You give so much of negative vibe,NAG
Nice🤣🤣🤣,NAG
This is bullshit,CAG
the moderator sucked. Incompetent,NAG
[14:28](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=14m28s) 😂😂😂😂,NAG
Character less this issue women,OAG
"Arnab please stop crying please give them appropriate time to speak, don't
take more then 4 debaters. I am completely agree with you that such people are
demolishing Indian history we must expose them",NAG
"i completely with with you bro.  
i really loved the movie.",NAG
@Subhra Halder tech talk,NAG
"Writing this comment at
[8:36](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=8m36s) so I don't know if
you'll say what I want to say but I can't stop myself commenting this that the
dashing and attractive look of shahid is shown in the movie which makes youth
think that they'll still manage to have that attractiveness ( Thick looking
beard, good hairs, those muscles and overall personality) in them even after
abusing drugs is so fake. And in reality if people start abusing drugs than
they'll become so unattractive bcoz reality will slap them so hardly and those
drugs would make you go bald, loose those muscles, loose ur charm, loose ur
social life, make you a failure in ur career and you won't even get that
respect as Kabir singh got in the movie)  
Follow shahid kapoor not Kabir singh and to add to this statement I've to say
Shahid kapoor went to gym and was on good diet for the role of Kabir singh so
understand the difference of reel life and real life of the actors",NAG
Part 2 please,NAG
"i forwarded everything, that old woman said . . . .",NAG
Haha,NAG
I always like your point of views brother.,NAG
Bitter truth....,NAG
I totally agree with you sir,NAG
"@Trixie Girll right, i just found that wrong, talk abouth positive also
shwetabh",NAG
I always thought bollywood sexim industry.,NAG
No word🤣🤣,NAG
he is much more mature than any critic. but sometime he disappoints,NAG
"Thanx for uploading a nice [video.im](http://video.im/) a gay and im proud of
what i am no one has rights to judge us we all have equal rights whoever born
in this world .After all we all live only once .one life less enjoyments and
secret emotions.",NAG
"Bro and sister corector of lifestyle must be kept like human rightly one day
every human well face with angle of death the malakkuulmoouuth then everything
you see in your eye your beautiful face we'll darkness recording be careful
with it behaviour count",NAG
I support u in ur war vd fake feminists,NAG
I'm girl I'm lesbian I love zoonish,NAG
"Bro finally I found a man talking sense about KABIR SINGH. Rest of the people
are admiring this movie under peer pressure from the lesser intelligent
masses. Dil khush kar diya tumne bhai.. :)",NAG
"what jahangir bhai did was absolutely correct , that bitch deserved that  
rab rakhaa jahangir bhai",OAG
I have same yellow bottle of cello 😍😍,NAG
238 dislikes from girls,NAG
Same bro,NAG
Subhoshree luks so ugly,NAG
It's been a long time!😊,NAG
That guy is AWESOME !!!!😚😚,NAG
"Sir I have not started the video yet but I know you will be right and I also
know what u are going to say so thank u for not caring about subs and likes
but more about our beloved India  
Jai hind",NAG
Pseudo feminism has become a trend ..... and actual feminism a myth,CAG
"🔥 YOU'RE AN ABSOLUTE GENIUS MAN..  
no one other' than you could review better at this level. You' are a Pro that
INDIA deserves...",NAG
Kabir singh is a success for me as it pissed off indian bitches😎,OAG
Nice video Bhi,NAG
It's true,NAG
"<https://goo.gl/search/Weather>
⛅️ It's 17°C in Dhaka",NAG
"haha  
Think deeply, go deep, then you will understand what I am saying before
calling me dumb.  
Think about it. Then you will call yourself dumb.  
Each and every industry has an obligation to build our nation.",NAG
I made a right choice by watching Super 30 than Kabir Singh,NAG
hi.... moni,NAG
"We need some sense We need a new industry other than that of Bollywood and
Hollywood .",CAG
Very Nice Vids Bro's👌👍,NAG
Awesome t-shirt!!,NAG
video starts at [7:40](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=7m40s),NAG
"I think very less people know about it..so I would like to share regarding
this topic...  
actually homosexuality is a genetic (hormone receptor)related disorder which
is natural and in a population about 0.1 % people are homosexuals and there is
no point in opposing it based on culture or society... people should be broad
minded and they should have courage to accept the reality then only they can
view a right thing in right manner...",NAG
good women is converted to evil by insensible indian law,CAG
"To be famous a film need to be entertaining also ...if released ..it would
have been a big flop",CAG
"I think they were expecting movie on ""Saint Kabir"" not on ""Kabir Singh"".😂😂😂",NAG
Kabir Singh totally senseless movie at all ....agree people like here,CAG
Thanks bhai you explain very well.I am fed up with these feminists.,NAG
Why your beard is half trimmed on one side 😑😑,NAG
true feminist is Cancer,OAG
Good action,NAG
"Mr Kabir Fan stop glorifying and confusing anger and physical agression as
love .  
A movie Showing 5% of repentance and 90% of aggression directly instigates
negative behaviour. You will get your answer by viewing the audience of the
film.  
It's not Feminism but humanism. This is clear chauvinism.",OAG
"Of course she is afraid of showing documents that people will know that she is
Suzanne and not Arundhati. It's like story of cat who lost its tail and
preaching other cats to cut their tails. (People who bark that she is not
Suzanne ask her to show her documents 😛)",NAG
You saved my dude bro😂😂😂😂🤣🤣🤣,NAG
She love veere di vedding 😂,NAG
"The entire point of sexually provocative songs (""item songs"" you know) is to
grab in cash, sell albums and official tracks, get people to invest their
times under the tag ""entertainment"", also they milk out quite a lot of money
by selling it on iTunes, Google Music etc and most consumers of these songs
are male audience. These cringy songs consume about half an hour of the entire
movie runtime and rendition, Most times these songs don't fit the themes of
the original movie i.e. Main Character belonging to a middle cast family going
to an expensive bar and drinking like a water fountain, dancing with a girl in
revealing clothes",NAG
"These movies are influencing all of teenagers (even age<16)(they saw movie by
jugaad)  
In my hostel(in kota) kabir singh has became an ideal for all 11th and 12th
students",NAG
Is she really a girl or transgender,NAG
Nice vibeo,NAG
"Yes bollywood is waste.  
I agree",NAG
HI9062066365,NAG
thanks Deepika madam,NAG
"Brother I really appreciate you and I am your one of the biggest fan of all
time but I really want to say that you can also add a positive point i.e.
KABIR SINGH was really passionate about his work his priority was work! As I
think!😊",NAG
Kabir single Best,NAG
Nice 😘😍😍😍😘😘😘😘😘,NAG
Bravo!!!!,NAG
"Uh, can't understand it...only thing uh can do is defend em and give
encouragement to these type of behaviour..its not the issue of they show on
screen we have seen this before the issue is they gave this an heroic look and
making boys think they can also do this. And look cool..",OAG
Very nice👍,NAG
"@Tarun Verma which girl u have seen I dunno!!! At least a person's consent is
required",CAG
Hahahahahaa they vary funny love it gays,NAG
"Pratik Ur too good man. Love u bro. I like the way u present Ur thoughts,
reviews.Dont waste Ur time on these f* ******* liberals.",NAG
"Hey guys! If your reading this you should check out Coach Red Pill's videos...
Lot of insight and knowledge over there for men.",NAG
Hi friend,NAG
"Some people don't like good things don't think about them  
Who speard negative feedback",CAG
MGTOW FOR LIFE !!!,NAG
"To see toxic relationship, please watch Malayalam movies uyare, ishq",NAG
I watch movies after your reviews always. It saves my money. 👍👍👍👍👍👍,NAG
feminism ruined marriage and american people hate feminism,OAG
what the fucking mohila,OAG
"Your channel name must be humansutra it suits more coz its motivation for all
👍",NAG
Really nyc m gay,NAG
Hi baby,NAG
Yes I love boy not lady's,NAG
"Brother ,you're a Savior for this generation",CAG
[0:25](https://www.youtube.com/watch?v=HQ3P2n5q6d8&t=0m25s),NAG
I agree with you 🙏😊,NAG
Bakwas vidio borring🤫,NAG
"I'm not a feminist...  
I hate Lust Stories, 4 more shots please,De de pyar de,Veere do Wedding...n so
many.  
I also hate Extra Marital, Pre Marital Sex.  
but I really disappointed with that scene  
1.When her father sees them on the terrace.  
2.When she tells their parents that they have done it so many times.  
3.When he explains his Father that they were is their so called ""PRIVATE
SPACE"".  
We are not supposed to do such things in front of our parents not Girls or
Boys... it is same for everyone.",CAG
who all want Shwetabh Gangwar to make a movie? 🙌,NAG
awesome ...,NAG
"I don't understand how that scene comes under rape, that girl inspite of being
engaged and having a fiance persuades kabir from the hospital and ask him to
come to her apartment to have sex and when he comes and they gets intimate her
fiance shows up at the door, she freaks out that they might get caught and
asks him to leave then kabir becomes a little irritated and acts aggressive in
that moment but instantly realises it and walks off. How this is rape?",NAG
"I saw the movie last week with my family and considered it a complete waste of
my time. The movie had no story, the acting was horrendous, and in the end it
promoted a negative message that your can completely destroy your life for one
person and still come out a winner. Utter bakwas. I give it 1/10 at best.",CAG
U r so sweet,NAG
13.21 here the best part came.,NAG
good sir,NAG
Nice I am impressed,NAG
Right right,NAG
Months gone ! And i still get full satisfaction watching this,NAG
Who wants joker movie review from mensutra?,NAG
I like ur t shirt,NAG
Mensutra also need to understand it is just a movie...hehe,NAG
Every one should see Lakshya Chowdhury's roast on Sucharita Tyagi's review.,NAG
Why arundhati Roy is still not arrested ???,NAG
VERY correct. Bro...,NAG
You're 5 months late?,NAG
@Pratiksha Tripathi I am not serious even about my existence didi,CAG
Best review ever,NAG
"Breif description but feminist is like urban terrorist and they will never
understand",OAG
Nice dst,NAG
you fokkit it,OAG
Feminists are the next threat to our country,OAG
@vikas vlog hi,NAG
"Nation building is the duty of everyone in the nation.....each nd every
industry including film industry",NAG
@jitendra choudhari I love you ji,NAG
@Random Talks which is your most favorite movie till now ....name only one,NAG
The real sh**t👏👏👏👉👍👍👈,NAG
you are absoutly wright,NAG
"Big salute to Jahngirbhai, but it's quick death, he should kill his wife and
is brother in law and leave her parent alive to suffer the pain and that will
be great lesson for them.",CAG
bitches spoil a men life,OAG
This is literally the best explanation!! Thank you Sir.,NAG
Haryanvi Jatt man very very bc,NAG
right,NAG
This is gold! Well done dude!!!,NAG
"The writer created a monster character and he is not a good guy at all but the
worst part he was rewarded with a girl",CAG
@Filmy Deewane Totally ageeed wit u!!!,NAG
I don't think,NAG
Man you're too good.,NAG
@Soumik Chk 🙏🙏,NAG
"I completely agree with your viewpoint.
But look at this from another perspective, the normal human character that we
are discussing in the video, it's basically the life that we are living, what
these movies are based upon the saying is 'the grass is always greener on the
other side' so in 2-2.5 hours in which a person is paying money to get
entertained, he wants to take a break from his current life and now if this
break is in some sort of fantasy-fabicated-reality then there is nothing wrong
in it.",NAG
"We will not going to show any documents to govt.. We will see what they can
do.. The motherf**ker BJP ?",NAG
"I truly agree with you brother.  
Btw intro was awesome.",NAG
"Roy is misleading the people to promote her own logic at the cost of the
nation. She is simply Anti Modi. She is a communist",NAG
"[#Atriyabag](http://www.youtube.com/results?search_query=%23Atriyabag) best
video",NAG
@Fasal Rahman so telling people to lie is telling truth wow what a logic.,NAG
Thank you so much 😁,NAG
Mind blowing video❤❤❤❤❤❤,NAG
"09777070288 IAm single iam from Odisha state bhubaneswar I love hot and sexy
movies and enjoy full night if you are interested msg me on whatsapp",NAG
PSCHYCOPATH SEXIST MAN,OAG
"Time is biggest Currency don't waste it on youtube u should read your username
bro 😒",NAG
Very nice video👌👌👌👌👌👍👍👍👍👍👍👍👍,NAG
"Thanks to Kabir Singh movie !!  
  
As it gives you the content to publish",NAG
would you do porn?,NAG
"@Aggressive Squad ok,,6oro .....",NAG
First encounter the Roy,NAG
"You are right
Thanks dada
Good luck",NAG
This is the best review of this movie...,NAG
But love ur review,NAG
Kabir singh emotional Love movie👍👍👍👍👍👌👌👌👌👌,NAG
Very nice video bro. 🤣🤣🤣,NAG
"I think bhai you have trimmer your beard only one side!  
Ps. Only for fun bcz this video is on a serious topic.",NAG
"this lutyens brigde must be finish soon as possible as they are radicalizes
the small section people of our country they like mouse comes at night and
vanisin early morning",NAG
he did a very excellent job. salute to this man,NAG
"@Be Positive The fact that you do not answer ALL the arguments, that you have
no research to back your answers, that you use Personal ATTACKS, ACCUSATIONS
and INSULTS, that you flee from the situation: all point out to the fact that
You Have LOST the argument.",OAG
Brother big Fan boss 😎😂😂,NAG
Plz stop video....Sudawrer puaain...,NAG
I don't believe in government.,NAG
very satisfying video. most review on yt suked,NAG
Back me,NAG
I agree with you,NAG
"best things about this channel, not only review but discussion about film
issue",NAG
Shwetabh fan hit like,NAG
Expecting Joker review from side very soon! That'll be very sensible,NAG
I hope this guy isn't serious!!,NAG
"Yes they know everything how to destroy India and make it 16 pieces. Medias
support follow them.",NAG
I hate you rano mondol,OAG
She & cousin print Roy are bl**dy converts hiding behind Hindu names.,NAG
Bang on!!!,NAG
Nice Comedy bro 👍,NAG
"And all above you have Sikh supporting Congress? How you have forgotten the
barbarians slaughtering of The Holy Gurus? How come you have conveniently
forgotten who burned and killed Sikhs during 1984 genocide?",NAG
Nice good job,NAG
"Love this video, most amazing ever seen on YOTUBE ,WELL DONE",NAG
"Do you think you should have Female counterpart channel.? I think even girls
need a lot of truth exposures.",NAG
"My friend asked me to see this movie..... and I am really happy because I did
not see",NAG
"This is the result of a false dowry case.I SALUTE THAT GUYES. He taken a good
stape",CAG
You r right bro,NAG
I m a woman nd I love ur video 😍,NAG
100% correct well said,NAG
Only because of you I started watching regional films .thanks borade saheb,NAG
All Right,NAG
"Is it not odd that us reactionary-press like ny times idolizes low iq
theocrats likeRoy whom they hate when it comes toIsrael but love her when she
spews venom against black skinned Hindus .she is a bootlicker of the ,white
man",OAG
Best Review bhai,NAG
i find it quite bizzare that even lot of girls have liked this movie,NAG
She must arrest,NAG
dont like,NAG
Nice video ilike thas you bro,NAG
Superb video Pratik Kabir Singh is blockbuster,NAG
"Just because one of her books won a prize she considers herself important neta
does she wash her Face and mouth  
P",NAG
"When a rape scene is shown in the film, feminist and liberals may be sleeping.
Very strange, so called item songs with cheap words don't come to their
notice,",CAG
Aniket pandey hii jan,NAG
"""Intellectual standard of the one book wonder ."" I like that. Thanks to Arnab",NAG
Glad i watched the video,NAG
Such a stupid short film! Negative 👎 impact on the gay community,CAG
"<https://youtu.be/UluJEnq8JCg>
Try this then",NAG
"I'm grateful to you sir. I don't watch much films, but unfortunately I watched
it and I was too much disappointed with this. It took me more than a week to
get over from the garbage it stuck in my mind. I could not understand what was
the teaching it taught us in the end!!",NAG
"Do u know who was the director of Kabir singh??????? He is actually South
Indian director named Sandeep Vanga. U cant blame bollywood always.",NAG
Bhai on fire today 🔥🔥🔥💪,NAG
Being gay is wrong and it is a choice 🤣👍,NAG
great show,NAG
"First of all u need to understand the story line...I feel u can't stand that
south directors or actors are doing so well ...first check wat shit u are
saying ..go have coffee n chill..",OAG
"Only one things sucks in this video  
.  
.  
  
.  
.  
.  
.  
SO MANY ADVERTISEMENTS 😡",NAG
11.55 savage🔥🔥🔥,NAG
Salute Sir ji,NAG
Bhavik Trivedi Indiya has great sons like this by the grace of god,NAG
"i dont know much about homosexuals, but i definitely would say that
transgenders should not be allowed.",NAG
Superrrrrrrrr,NAG
"beautiful, thank u vai thanku",NAG
Good good good,NAG
Summary of the movie 😂,NAG
I fuck u,OAG
Arundhati is an all time bi**h,NAG
I aggre with you,NAG
T.R.P. 0/5 Republic TV,NAG
"Please make the previous video long one ....the insecurities one ... I really
need it",NAG
"Pratik sir please make a video on how marriages in India are being ruined by
laws brought by feminist e.g. IPC 498a , DV laws etc how these maintenance
provision are used how husband and their families are harassed. Please check
misuse of IPC 498a. And how some NGO and lawyers are lobbying for bringing
more laws to ruin marriage and harass men",CAG
funny starter of 377 😀😀,NAG
"Arnab, where have u kept your spine dear???  
Is it in PM's office???  
Do some journalism man....  
Get well soon...",NAG
99% of Bollywood movies will be illogical,CAG
What a caption!!!!👍👏,NAG
Super,NAG
"If you are reading this I suggest you to read complete work of swami
vivekananda I guarantee u Will not regret",NAG
"That guy at [3:46](https://www.youtube.com/watch?v=ZzsAuDkXq1M&t=3m46s) and
that jhaat guy should go fuck each other.",NAG
She is a pig,OAG
sotti great roasted i have ever seen,CAG
"Everything you said is accurate and 100% correct except we Indians still
haven’t developed as a society where people can genuinely practice your views.
2-5 year old girls are getting raped in this country. Colleges are filled with
10-20 goons. There isn’t anything wrong with the movie, you and I know what
message our youngsters gonna interpret. I have two friends who committed
suicide for love in college. “Tere Naam” is no distant memory either",CAG
Incredible Brother ....you are right ...,NAG
🅰🆆🅴🆂🅾🅼🅴,NAG
@Sonal Sony I m from cg n u,NAG
worst video,CAG
"Hitesh Kumar Our country is full of feminists some of them hide there face in
the mask of gender equality.",CAG
"@[41:51](https://www.youtube.com/watch?v=n3d5IlngAMA&t=41m51s) arnab whispers
""what was the debate"" xD",NAG
"Kabir Singh did not promoted Abuse... lol  
  
  
stop speaking shit",OAG
"Why is this fool talking when Madhu Kishwar is talking and why doesn't Arnab
shut him up while she speaks.",NAG
Ranu.nice,NAG
Stupid !,OAG
"The point is any negative character must not be projected as a hero and Kabir
Singh is a character which is definitely showed doing bad activities but on
the other hand if we focus the intention of the movie is also to project that
whatever he is doing he remains a hero.",NAG
Shitwood,NAG
Aagya the most awaited video of all time,NAG
"Well the fact a celebrity or an icon has effects on viewers is very nicely
depicted in Udta Punjab.
Parents at home and teachers at schools should by all means have Moral and
Etiquette development classes to have the overall development of an individual
in order have a kind generous personality towards others so that one doesn't
loose his or her that individuality at their very prone period called
""teenage""",NAG
"Cultural values are subjective... liberty stands for individualism...every
individual should be able to take his decisions...now some can be happy to be
with one person throughout life...or some can be happy to have multiple
partners....it depends on individual... We misjudged liberty and bashing it...  
Feminism stands for equal right for female... We live in patriarchal
society,where inequality stems the social control... society had controlled
female through centuries... Removing this inequality is the goal of
feminism....  
Now Kabir Singh is just a film... creator have right to portray his/her story
in their way... What to take away from this film? It depends on a person who
is watching the film... Some can see it as a story... but some can feel that
it glorifies Kabir Singh acts... Both perspective is right in their own
domain... Just one think to remember, if you are not comfortable to watch then
don't watch...",NAG
Swetabh bhai is always rock 🤘,NAG
Joker review pls,NAG
Good Job brother,NAG
Idiot,OAG
1st view,NAG
This guy is mad...have no basic understanding...,CAG
Hlo,NAG
Vai good i am happy to you,NAG
"@Utkarsh Singh not all illiterates have ethics. It depends on a individuals
sanskar and genetics. And what he/she has been exposed to since they were a
child. For ex: an abusive father who would lay hands on his wife.",NAG
Thanks bro,NAG
Ofcourse the acting is bullshit but the message is Gud,CAG
"Slight issue with one of your point, its not a Indian concept entirely.",NAG
Finally 🔥,NAG
What is libers and feminist 😶👀????????,NAG
👍 well said sir. Guys also watch Lakshay Chowdhury's video.,NAG
Superb bro 👌👌👌😂😂😂😂,NAG
Right answer,NAG
You are right Dada.,NAG
Bollywood is not even close to reality,CAG
Great job,NAG
Awesome ANALYSIS bro awesome LOVE YOU ❤😘,NAG
Awesome review.....,NAG
"Where were these feminists when a web series named 'Four More Shots' had a
dialogue that 'Men are like Condoms'..",CAG
Ranga billa orgy pals of Arundhuti kutiya,OAG
The designer witer,NAG
I agree But movie affect Indian then don't watch movie it's simple,NAG
Nice Snper Good,NAG
"Critics be like  
  
Tere naam: awesome  
Sanju: awsmome  
Kabir Singh: toxic masculinity, misogynistic.  
  
Wah BC.",OAG
Very true fuck liberals,OAG
It's rated not reated,NAG
That grey shirt guy..looks like Rapist!!,OAG
Come on man get your basics right😂😂😂,NAG
You're right ❤,NAG
"Bhai Walk the line aur Revolutionary Road dekho. They have won Academy awards!
Aur inki khujli ho Rahi hai!",NAG
Movie is on anger management..,NAG
Yeah......boku no Pico...right??😅,NAG
"That’s why watch good anime,,,, I said good anime😏😏😏😏😏",NAG
Actually sir you are eye opener for our society,NAG
ok video,NAG
"As expected from this man  
.  
.  
.  
.  
Bitter truth, reality and intellectuality! ❤️",NAG
When will I see your sexy video?,NAG
No bhaiya Bollywood is 💯 % Garbage 😀,NAG
Iam also lesbean,NAG
HAha🤣😅😅😅,NAG
"When i see notification of this video  
I was like aha here we go!!!! 👌👌🔥🔥💯💯",NAG
U r great 👌🏽👌🏽👌🏽,NAG
Thank u sir ♥,NAG
"xyz, you are also a Kung Fu kutta..😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",NAG
RSS agenda is to demolished opposite options,CAG
"@kritika he played for the same reason everybody who plays negative roles does
so....because it is hrd to play such a character and tests the acting chops of
the actor for eg:nawazuddin,some roles of srk and rajkumar.And just because
you are playing a character does not mean that you like the
character.Nawazuddin has spoken extensively on this topic that he does not
like most of his character that he plays.",NAG
"Sadguru explained one of his follower story, Hindu  
marriage is not valid and they have given his wife to another person.  
can you anyone imagine that  
  
@",NAG
Ranu Mondol I hat you,NAG
"If Arundhati roy was not doing what she is doing..she would have been a
prostitute",OAG
Darun just super speech,NAG
"Now look they are thinking to conquer Pakistan.. Plz army chief of India
select more homosexual in your army.... They have a lot of benefit....  
They have the great annals.",NAG
"Tapsi pannu And Aushman khurana arey only logical actors in Bollywood acc. to
me 🤔",NAG
conservatives fuck you all,OAG
You best boss,NAG
Jahangir Rocks...!!!👍👍👍👍,NAG
"From the first time I have felt Kabir Singh is one of top chutiya movie. Top
worst movie. But I am shocked to see males reaction. They think it's best.
Aisa hi hai most of Indian guys . Chutiya",CAG
9609771198 Coll me,NAG
"Sorry I don't like the concept at all , you r making bad image of gay people",NAG
"Plss watch joker and tell us your thoughts  
  
  
And btw the Story is from telengu industry",NAG
Bro I must admit your face cut looks completely like Kabir Singh....😄😄,NAG
"""Non sense"" Ranu mandal..I hate her now.",OAG
@David Zone U PLZ JOIN DEAR ...ATLEAST HAM AB FRNDS H,NAG
"Get lost Arundhati Roy! Do not behave like illiterate lady. Have you lost your
mind? Are you drunk? Shame on you Arundhati. I am really surprised how you got
that Brooker prize for writing the book? Did you hire someone to write the
book? You are telling people to be dishonest. Who knows? You must have hired
someone to write the book. It is so evident that honesty is not in your
dictionary. Shame!!",OAG
"[7:41](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=7m41s) I thought he was
still talking about Kabir Singh .",NAG
yes,NAG
You should agree or disagree not judge. And I don't agree with Feminists.,NAG
"In the name of feminist doing bad things now a days which is symptom of
judgement day we r near",CAG
bravo,NAG
966572930901 my saudi arab namber,NAG
"And yes movies do affect human behaviour, especially if that human is an
Indian.

Long back there was a case in Australia where a man of Indian descent was
charged for stalking and harassing a woman. He told the court that he learnt
all that from bollywood movies and the court, on finding that bollywood does
portray men and women in such a toxic manner, buried him.

Yes, movies do affect our behaviour.",CAG
"@[9:46](https://www.youtube.com/watch?v=n3d5IlngAMA&t=9m46s) min. he is a jerk
and morn of the highest order. Somebody piss on him...hahahahahahahhhahaha",NAG
"@Sneha sharma seems u r relating ur own tramautic personal life with the
movie. Kabir singh is a great character. Only fault he had was short temper
which created problem for him. Stop judging ppl based on ur own personal life",OAG
<https://youtu.be/8Ue8R5bB9K0>,NAG
amazing world 8uu,NAG
"I love you
Dada",NAG
"Four more shots was hopeless.. I don't understand how people can like such
bullshit..  
I watched arjun reddy instead when kabir singh released. I thoroughly enjoyed
the movie. The acting was superb by vijay and shalini. Actually bollywood can
not even come up with a really good story that they end up making remakes.
What bollywood makes is shit like soty2, Race3, dhamaal, namaste England etc.
No story only glamour and sex talks that's all.",CAG
Well done keep it up they deserve to be punished...,NAG
Even beggars got pyramidal concept 😂😂😂😂,NAG
Get lost Arnab...…...Your debates are like this. Go and learn journalism first,NAG
Looking fr lesbian partner,NAG
well done bro....,NAG
Illiterate mondon......,OAG
I need better word than 'chutiya' for this man?,OAG
I think it's not movie review only lecture on feminism...🤐🤐🤐,CAG
What big writer. She should be kicked out of country.,OAG
Why goverenmemt didnt put her in jail for doing anti country activity,NAG
Through out this RAT from our Nation.,OAG
I don't know. Such a boring movie 😴. Left the theater after 30min.,NAG
"first of all, there is thing, where people have their type and people
belonging to the LGBTQ+ community are BETTER at confessing and handling if
they crush on their straight friends THAN straight guys so shut the fuck up",OAG
lesbian rocks I hope the nepal also have this rule,NAG
"The moment near [5:23](https://www.youtube.com/watch?v=p7ssviyHAe0&t=5m23s) is
owsum",NAG
we:XXX Bangladesh,NAG
"guys check out this documentary called ""the red pill"" it shows the state of
mens rights in countries like US...",NAG
"I really liked this movie..i didn't find this movie misogynistic...or showing
toxic masculinity..  
This may be wrong pseudo faminist and gaandu male..",OAG
Last part 😂😂😂😂,NAG
