Text,Sub-task B
it's really good👍👍👌✌️✌️✌️✌️,NGEN
"Lesbian,gay or transgender. Whtever.....above all these tags,everyone is a
HUMAN BEING. ..n all is equal in eyes of god....so,,everyone has the right to
live in their own way...its all about love...so everyone is equal n free ....i
totally support all of you...jus avoid any of the trolls.....bless you
....have a good life 🤗🤗👍👍🤗🤗🎀💝🎀",NGEN
"Yeah right, because tigers can sign a legal contract. Idiot!  
Besides, decriminalizing gay sex doesn't mean gay marriage is legal yet.",NGEN
"Wtever.  
Modern Feminism IS dog shit",NGEN
Cheapest message I ever seen in YouTube,NGEN
"Because ashiqui 2 was remake of Hollywood movie A STAR IS BORN therefore that
movie is realistic",NGEN
Love you sir i am from canada,NGEN
Nobody can understand the pain of such husbands,NGEN
Much more complex than Preeti 🤣🤣,NGEN
Yes..but not possible in real life ..dear😉,NGEN
Nice bos,NGEN
Good Video,NGEN
NICE TIPS,NGEN
Don't watch after 12 minutes... spoiler ahead,NGEN
So so bad,NGEN
Shut your mouth and get lost.,NGEN
@kiyara singh thankx 😊,NGEN
"government hi kuch nahi karti bas police aur court ke judges innocent family
ko totally barbad kar rahe hain.  
Totally Blind law in india.  
save families from prostitutes",GEN
He and his family was aquitted for lack of evidence in 2012.,NGEN
"What a cunning and in actual a idiot women..who thinks she is intellectual..
idiot are people clapping at her idiot propaganda..",NGEN
"In kabir singh movie He decided Kaira as his gf without her concern, What a
level of female empowerment.",NGEN
Hallo,NGEN
"proud to be india and tqq supreme Court for beautiful judgment. And love for
lgbt.",NGEN
"This lady doesn't even know that a term in India lasts for 5 years not 4
years. Saali America de yaha hero banne ke liye aayi hai. That's where the
term is for 4 years",GEN
Emotions must be analysed. Or you're literally the slave of your emotions.,NGEN
She is so much intelligent,NGEN
Awesome movie,NGEN
"The process can be tested by taking them in army and recording their
activities which data can be further used for the study on effect of
homosexuality on army efficiency.",GEN
great review sir . hoping more reviews like this.,NGEN
"Can u give kgf movie review  
Becoz u have done kgf trailer review  
Sooo",NGEN
Very nice sir,NGEN
"Kasturi what in your dictionary means dissent? Addressing a group of novice
individuals to fill them up with sedation and hatred towards the country and
its policy makers?",NGEN
Learn from everyone follow no one🚶....,NGEN
Nowadays shortmovies is far better than Bollywood mainstream movies,NGEN
@Zain Fatima hi,NGEN
"Men are not above women, but the opposite is also true! We are equal.",NGEN
Nice nice nice nice nice nice nice,NGEN
You are also not totally pure. You are exaggerating so much.,NGEN
Top Sameer punjabi hi,NGEN
Truely true ......,NGEN
"321 melt down  
@[15:33](https://www.youtube.com/watch?v=n3d5IlngAMA&t=15m33s) \- Please, for
heaven's sake do not say hyper-bowl! The word is pronounced  
hai-PUR-buh-lee.  
Dizzy disagree. "" I dizz agree with you"". And with dizzying neck and head
moves.",NGEN
"I . Just. Fell. In. Love. With . This. Guy's. personality and way of thinking.
🙌 he diced the movie plot precisely. Everything he says is very realistic.
Respect from a Pakistani girl. You go Sirrrr.",NGEN
"Liquor should be totally banned. Administration and police must be strict and
such actions should be dealt with iron hand. People should be alert and aware.
Bengal is fast becoming hell.",NGEN
"@Be Positive The kind of INSULTS and ACCUSATIONS you have berated me with
reveal the true Nature of Feminism.",NGEN
Why the eccentric lady is still in India?,NGEN
"Kabir Singh is far better than Hindi garbage movies and hinduphobic chutiya
movies",NGEN
You are absolutely right bro....respect for you,NGEN
Go and watch Fing channel videos,NGEN
"god bless jhangir , bahut badiya kiya , this is the result of injustice and
the bastard indian bitches should realise this",GEN
@Kishor Biswas hi,NGEN
brother please make a video on punjabi songs,NGEN
Very nice pic,NGEN
Nice video,GEN
"Who is Arundhati roy?? Is she above constitution? Whats her AUKKAAT?? answer
is she is ANTI INDIAN BY ALL MEAN ...  
So madam u hv no right what to say or not....just shut your mouth...v r with
modiji and amit shah  
V r voters...not slaves....",NGEN
"Not liberal opposing but people of Bajrang Dal, Shiv Sena, Karni Sena & anti
romeo squad gang opposing the movie",NGEN
"Freedom of speech does not give anyone the right to incite people to commit
crimes. Kastori shankar is stupid. Nupur is absolutely right.",NGEN
arjun reddy was also a morally ethically destructive film ...,NGEN
"Love your review, first to watch",NGEN
osm video,NGEN
@mr gojiya hlo ji,NGEN
"I thought that LGBT are minority, so it shouldn't effect much right?",NGEN
Nice acting guys mind blowing,NGEN
"@Mahesh Thakur Actually pratik is one of the few critics whom we can trust and
he is leading the Bollywood industry and audience in a good direction.",NGEN
Such incidences will increase now .... no other remedy ...,NGEN
Ya..do one on that too,NGEN
"Hai I'm watching, waiting for your call. Call me friends. For 377.",NGEN
Ranu is a gost,NGEN
Deep Analysis 👌,NGEN
"If you can see this man always emphasises on one thing that is to be rational
in every situation!",NGEN
You r awesome 😆,NGEN
i knew it was coming lol,NGEN
You are good good good good,NGEN
Perfect captured bro,NGEN
WOWE,NGEN
"There is no one character of doctor like kabir Singh..its a movie nothing
else. Bollywood movies has to more improve . They impact negative thoughts to
the whole youth.",NGEN
Burnol mate?,NGEN
Gay sex should be banned..........,NGEN
"Bhai 'TUMBBAD' dekho Amazon prime pe hai. You won't regret it. And if you like
then please review it here. It need more recognition.",NGEN
"They Are doing for food, nothing more",NGEN
This woman is high on some cheap crack.,NGEN
"And video shows that every criminal has right to crime because we’re born
criminal and if we’re agreed to become criminal than it’s God decision",NGEN
M gay n proud of myself,NGEN
"bull shit .  
you fucking mind. gays are not criminals. this video showing wrong image",NGEN
Its worth watching instead of wasting time on PUBG,NGEN
"I think Kabir Singh is appealing to alot of women/men because, despite him
being a naracissistic, abusive, uncivil, alcoholic, woman threatening,
manslut, addict...he's a rich guy, with a rich family and also, he's
apparently a very talented surgeon. If you minus all the wealth and his
profession, and he's a middle class ordinary guy with all the negative
qualities, then it would be a hit episode of crime patrol. It's similar to
those 50 shades movie, the guy is ""hot"" because he has tons of cash.
I have watched the movie to see what the hype is about, honestly, the girl was
blander than Bella Swan in Twilight. And what the heck does, ""I love the way
you breathe"" mean? Goodness gracious.",NGEN
"People like Kabir Singh in real life would have needed lots of psychiatric
counseling and therapy. He has ASPD and substance abuse issues. Love is not
equal to obsession. This is not a good love story this is limerence. You don't
have to be a feminist to notice this.",NGEN
Getting friendzoned!,NGEN
Yess bro yess,NGEN
"those who r promoting this, i wish their parents were also in favour of that
so those stupids wouldn't have been born.",NGEN
"I m from pakistan  
Koi pakistan se girl ho to wo mujhse contect kry but i m not lesbo..bs bht
sari dosti or thora thora pyar ho..koi ho to ajao plzzz my dear friend. 😘😘",NGEN
"Yes u are right...but 90 % of men supports women without knowing anything
about and these men do not know what are happening on men by women all over
the country....",NGEN
Bhai love u a lot big fan launde kya haal best dilogue,NGEN
Bakwas movie..bt Shahid Kapoor's acting was fantastic,NGEN
"@Truthshallsetyoufree some random guy who was born 2000 years ago is your god.
Who doesn't even know what the world is right now in the year 2019 . He is
going to preach me those things which he thought was right 2000 years ago at a
completely different place and time and you think by applying those thoughts
my life would be happy. Get a life Christian missionary, but if you are
getting paid for it then all the best. At the end it's all about self
convenience.",NGEN
Nice shayri,NGEN
"They killed husbands parents....they destroyed life of this man.. so they have
to be punished like this totally agree",NGEN
"This Congress bugger why disrupting the debate, he needs a good kick.",NGEN
"load of crap, it isn't directors responsibility to teach anyone the moral
values, it isn't any moral science lecture, the idiots who gets inspired from
Kabir Singh is not directors responsibility... And whats your fucking problem
with love at first sight, anything sounds bullshit in a sarcastic sound. And
how stupid are you asking about heroine's backstory when the movie is about
protagonists self destruction, and why the fucking are you comparing the movie
with reality, not just bollywood anything on silver screen will be absolutely
fucking different from reality sucker.
STAY IN YOUR REALITY FUCKER BETTER DONT WATCH MOVIES FOR INSPIRATION AS A
STUPID.",GEN
"Boys n girls should have equal rights.  
Whats deemed right for girls should right for boys too n vice versa",NGEN
<https://youtu.be/ghDIOlPnaA4>,NGEN
Why does someone slap that Kasturi and tell her that it's my discent,NGEN
"It's a Smart Movie for Dumb people.  
\- My Opinion 😁",NGEN
Finally got a logical review!,NGEN
<https://youtu.be/2QD6004jEI0> Raghav Juyal on CAB,NGEN
Kasturi smells so bad....😃,NGEN
100/100 kabir Singh,NGEN
Happy Nice,NGEN
Typical maoist look,NGEN
Army need man not LGBT,GEN
"@Thicc Man I wasn't talking about her, I just giving you the answer of your
theory on charcter study which is pointless.",NGEN
"I don't have problem with the love part of film but with the gross negligence
in his profession that too as a doctor",NGEN
What was the meaning of that two English words,NGEN
"Well it's good to see all the citizens of the country fighting against one
another just like the old times before the Britishers came and became masters
of us..Took more than a hundred years to be free and now seems like we're
gonna destroy one another with our bare hands without the help of
British...Well done..",NGEN
"LKMKA, L - Leftist.these should be kich out",GEN
for this reason only Bollywood has turn into a garbage industry,NGEN
Owo,NGEN
Nupul should not scream. It takes away her point.,NGEN
Right bro ...fuck bollywood,NGEN
"she might or should be subjected to sometime Ranga Billa acts and should be
subjected to vulnerable situation that she should beg for herself and
mercy...why she is criticizing and always a face of controversy...such writers
always do that make their books famous...they can go to any unethical
level...they take advantage of mob psychology also... .such cold blooded
people are born to eat the ghee or butter - as old saying...from the dead ones
funeral...",NGEN
Also he is topper of college... Kabir singh 🤣😂🤣😂,NGEN
Please,NGEN
It’s black law period,NGEN
JOKER,NGEN
outstanding bro,NGEN
Love Nupur mam...,NGEN
Thanks,NGEN
Best review.,NGEN
She is not a perfect celliberity,NGEN
Feel sorry for boys.... 😢😢😢😢😢😢,NGEN
"I like her voice, it's sexy. No homo...",NGEN
"[#BestReviewer](http://www.youtube.com/results?search_query=%23BestReviewer)!🔥  
[#Logical](http://www.youtube.com/results?search_query=%23Logical)  
These feminists and liberals are...immature....don't know,why do they go to
watch adult movies when they are not matured.",NGEN
She really have Randy look.,GEN
Why the govt is allowing her to spread hatred against India ?,NGEN
"Does this Arundhati Roy have a brain? She is being seditious urging the
members of the Indians at large to provide false information to the Government
in the serious business of organizing and putting order to run the country.
What's her business in this? She should be mailed.",NGEN
wow.....👍👍👍👍👍👍👍 good,NGEN
"Plz make "" Joker movie "" review ..sir",NGEN
"you did not get the point. unnecessarily mixing up politics and feminism and
everything else like khichdi. if some people had a problem with a lead
character who has terrible anger issues and acts violent and entitled and like
a jerk and rolls his life away in alcohol and drugs - that is a very very
pathetic and unattractive character. there are people like that in real
life... who bring down everyone around them because of a break up. i think
showing why the character is like this... delving deeper into his anger
issues, his insecurities would be a better movie... jab dekho love love
love... kya bakwas...ask any psychiatrist and they will tell you this is some
kind of personality disorder. thats what people are talking about... stop
blaming feminism all the time to justify weirdos.  
  
  
having said that, i am sure shahid has done a great job in this character. i
just hope not many men waste their life in alcohol after watching this movie
thinking they are doing in it the name of LOVE.",NGEN
I feel you bro... 🙇,NGEN
"Every one in the world got flaws and who argues against is an hypocrite just
like you asshole. An movies are based on how engaged are you watching the
story and characters response to situation, not judging their morals... How
dumb are you? I really thought this is a good channel.",NGEN
"Now watch shwetabh Gangwar's analysis about Kabir singh. Your review seems
comedy infront of him.",NGEN
Fav comment off the week😂😂🤣🤣😂😂😂🤣🤣😂😂😂🤣😂🤣🤣🤣😂🤣🤣😂🤣🤣😂🤣🤣,NGEN
M HAPPY,NGEN
"@parul singh It's not true.... but yeah... due to too much indecency of women
in society and the way media using them as an object or piece of meat to
seduce men, many men also are running behind these girls to lick them... at
least you are not their target... but those men who became monster watching
this nudity and lost control over themselves, you can be target for them....  
  
  
Each fuckbois do not see whether you are simple girl or bold... they just
wants your body....  
  
  
So, take care....  
  
  
Values of women and respect for them are getting down day by day... In future,
may be maximum men would became fuckbois just because of this obscenities all
around....  
  
  
Today, it's hard to find a genuine girl or boy....",GEN
Dogs,NGEN
"Do the evil doers know that it reflects on their face?? Jai Bharatvarsh ! Jai
BJP!",NGEN
@Jagdish Jena well you did,NGEN
"I just heard a bit and I really like the logic.
Is there any way can we work together! It would be awesome.",NGEN
"Till the climax Arjun Reddy goes as if it was going to show the real
consiquences of toxic masculinity and forced love. Its has many real elements
of upper caste elitism, stalhome syndrome and self distructive tendencies. But
in end it goes on to dump the whole setup in dump and heads for a typical
bollywood style fairytail ending.",NGEN
RX 100 movie par ek analysis please,NGEN
Akdom right bro.sallut👏👏👏👏👏🤘🤘🤘,NGEN
Nailed it brother ✌,NGEN
"+Jass Mcdonald simple kill those bitches, system will automatically learn,
sometimes offence is the best form od defence.",GEN
"The Review we knew we needed,  
But not the review we did not deserve!!!  
Coz the Mensutras do have cultivated the rationale against Bollywood!!!🙃",NGEN
Salute for your honestly brother! Raise the voice!,NGEN
You deserves bohot kuch sir..Hats off😌😌😌,NGEN
I want top guys interest ppls call me 9502048332,NGEN
proud of you!! And Proud to be a part of LGBTQA+ :),NGEN
Message to all the bitches who think they can get away with miss use of 498a.,GEN
Awsm girls😘😘😘😘,NGEN
"Hello mister....kabir singh is a achi cheez...u don't know how many family are
destroyed by drinking.....",NGEN
"Bakwaas baate hai ye..talking about liberals and feminists is not the
issue.its about the basic moral values... hooting on a guy slapping a woman is
not funny... molesting a girl just because you are her senior is not funny...
this is a reality I know but glorifying it is a mistake..and such a happy
ending of the film made Kabir Singh a hero..which he was totally not.What he
was doing during the whole film is simply not right.And it's you who support
all this..because for you he is a hero..maybe you want to become like him.This
film will just mislead the youth.Shame on everyone who are a part of this
stupid film.",NGEN
please put english subtitles.,NGEN
No👍 😜,NGEN
"@Shashank Singh I agree with you 1 -he loves turly so he kissed her infront of
family members in her home what is respectable man to love a women !  
2 - he accepted his ban Coz he knew if he will not so the drinking habbit will
continue so it was a clever desion !  
3 - she slapped so right reason lefting her in someone else arms for night
pleasure ..he could not get any information how she is ..& where is she !  
4 - one of the looser act when Kabir slapped her she can't talk her family for
own marriage again here Kabir is moron didn't send their family to convey if
his family not agreed with this relationship so they both leave their home &
got court marriage simple ! Fucking film !",NGEN
@Eminent - pubg Mobile chutiya pubg pussy Indian spotted,GEN
"The problem is that he shows a knife to a girl to remove her clothes on knife
point , he openly announces that girl is his without her consent , and
objectification of fat girl should be with beautiful girl is pathetic.  
PS I didn't like 4 more shots , made in heaven etc pseudo liberal movie as
well",NGEN
well.... agreed except the death part,NGEN
"India is officially now a ""gaandu"" country",GEN
"Few persons whether artist, writters, economist...how many r they? Are they
our future decider? My opinion we are country fate designer, they are not
newtons or sir Einsteins, these urban naxaulites are misleading for their
personal money, wealth. Put them in the gutter...",NGEN
Kabir singh is a great film!,NGEN
Great analysis sir.,NGEN
"@Kunal Handa It wasn't promoting anything. It's just about a person a GUY"" and
the life events that happens around him ! ... the incidents that he go through",NGEN
"Flevia and neha may God burn u in hell , fuck u all feminists . I have seen
the arrest of whole family which includes 85 year old men who can barley walk
, the father of accused .",GEN
How,NGEN
Publicity about illegals law.arrest immediately under government cusstody,NGEN
"Yeh sala lal topi Sunil Chopra Pakistan k Zaid Hamid ka Bhai hai usiki bhasha
bolta hai",GEN
"vipul bisht look around all the men of 80s do they look as young as ramadhir
in his 2000s??  
Except for dilip kumar and dharmendra,the answer is no that too dharmendra at
this age can't run and shoot fire arms unlike ramadhir.",NGEN
"First of all we have to watch movie for entertainment only..every time we
can’t judge movie if we are not getting anything from it(i am talking about
individual)..i am agree with Shwetabh bhai for some opinion but Kabir Singh
has lots of other elements to analyse..Basically movie main character ke point
of view se dikhayi hai aur movie dekh ke hum apana dimag kharab kar rahe then
i am sorry hum movie aur real life ko samaz nhi rahe hai..you have to be very
practical about yourself,society,movie and reviews like this..end of the day
life money pe chalti hai not these movie..again person to person differ karta
hai..it’s not about right or wrong but different perception only.",NGEN
"@Nirupam Debnath same answer to you what I wrote for Sandeep...read it ...and
read the Bible once.",NGEN
Best movie review for this movie 🙌🙌,NGEN
Awesome Bro 😎😎😎,NGEN
"Its just a movie dude👏👏ik you earned a living from talking such stuff but
whatever movie is hit so no one cares",NGEN
"Feminists are characterless inhuman insane creatures who don’t deserve in
society.",GEN
9733487591,NGEN
Please share the number,NGEN
This is fantastic review 👏👏,NGEN
"Toxic feminism is the best comedy ever happened to the world. And now INDIA
has it too so let's have fun with it😄",NGEN
"Malimatth Committee prediction is coming true. Though this is wrong and I
condemn this act, this is bound to happen. The way the Indian Govt is treating
men in general and Indian husbands in particular Indian men are left with no
choice. The shallow feminists, national commission of women and Women and
child ministry are openly encouraging women to file false cases agains
husbands and their families. They are openly pampering women to commit crimes
and then put on mask of victimhood.",NGEN
God blessed all🙏❤🙏,NGEN
Call me dear im in mumbai powai... Call me on 7045495339,NGEN
"nice......

<https://youtu.be/MDTajrNe36E>",NGEN
"Seems like arundhuti's mother lied to about her father also , I mean whom she
thinks her father 🤣",GEN
"channel was started about movie reviews and slowly it goes political drama
channel",NGEN
only gangs of wasseypur was realistic movie 😍... hit like if u r agree !,NGEN
can you make review on Movie PK,NGEN
Finally someone talking real sense.,NGEN
Why Indians even tolerate such POISION,NGEN
Please speak English with me,NGEN
Bollywood college movies- other than pdhai everything,NGEN
Nicevidoes,NGEN
Xxx,NGEN
"But what she is doing, invites investigation and her arrest at the earliest",NGEN
Journalist should listen not his own indoctrination,NGEN
"If you add the flaws in the movies regarding his medical education...this
movie will be absolute tatti for all",NGEN
Super hit movie 😊😊,NGEN
Buy,NGEN
"True love? Ek br dekhke mark kr di ladki, slapping the girl, true love? Bina
consent kissing.  
When the girl says no you become mad.  
Indian males.  
The problem is not showing bad character but the problem is glorifying a bad
character.  
I was really thinking you were giving sensible reviews.",NGEN
"deepika ji....I am your biggest fan!  
I'm happy to finally see a woman...who could understand the injustice done on
men!",NGEN
Arundhati is a traitor and a kutiyaa,GEN
No claps. She should be given slaps.,NGEN
"True AF  
Ref to video :Batla House 😉",NGEN
Thanks to God,NGEN
Good amushing,NGEN
Someone should be expose this guy man..nonsense,NGEN
"Arnab just see the english news papers. The anchors who spread wrong
information are sitting there.",NGEN
Very funny,NGEN
"Wow, It is a great message by this libtard, urban naxal to ensure the
addresses of those Naxals with NPR.  
Let us have funds for making sure for the fight naxals started and killing
BJP/RSS workers. This will be a great tool to take care of these anti-
nationals - Great names ""Ranga Billa, Kung fu kutaa and Kutiya""",GEN
u r handsome 😙,NGEN
"Most of Bengalis(todays) are beiman.
Ranumondal she has no any label actually origilnaly her status is
beger(vikhari).",NGEN
govt should deport her to some peace loving islamic state,NGEN
great video ... wow !!,NGEN
"Oh sexy my darling, I love you",NGEN
She is a dangerous element for our country'.kindly expose her.,GEN
Aashunnaiaashnu has a reputation as an American in,NGEN
You are right...,NGEN
"Exactly and she called one guy rapist and pervert who critised her for using
car and air conditioners which create global warming on twitter",NGEN
"Bro i didn’t watch any part of toy story series yet but i m excited for toy
story-4 so should i go for it or not??",NGEN
"@Rishita Pandey and yes don't need your certificate of feminism. my family and
all close ones are most happy with attitude and behaviour so f#'£k off.",NGEN
"@Rishita Pandey that's the real face of you
bi#""[#ch](http://www.youtube.com/results?search_query=%23ch)...sorry i used
that word but you deserve it. your funda is clear, if someone has different
point of view then start abusing. and yes for chu""#""""yas like you 🖕",GEN
Feminist are mc,GEN
"I Don't Watch Kabir Singh Cause I Know Bollywood Love Is Garbage.  
Aayushman Khurana On Top Level.  
  
❤️❤️ Your Video Is Positive ❤️❤️  
I Follow You Since 3-4 Year.",NGEN
Place name please,NGEN
Arokum mohila very bed,NGEN
"dont agree with you on all the points but yes you are totally practical and
right about most of them.",NGEN
stupid rano mondol,NGEN
"It is better to call scholars in the field of politics, sociology for debate.
Not the cracks from cinema, spokes woman from political parties. I could see
bitching only and stopped seeing your program after a few seconds. I will
never see your channel again.",GEN
14:-30 min starts,NGEN
Review joker...,NGEN
"That's why I never Watch These Kind Of Movies. I Watched andhadhoon, nil batey
sannata, maanjhi, ankur aroroa murder case Etc 👍💯",NGEN
"To be really honest after watching sucharita review on kabir singh, i really
thought kabir singh's charater was toxic masculinity and decided to skip the
movie, but then i watched ur review and decided to watch the movie, and turns
out ur review is accurate.",NGEN
awesome acting... Chandu...👍👍👍,NGEN
She's a waste of Kerala to the outside world as we don't want such shit here.,NGEN
"Seriously , At [5:26](https://www.youtube.com/watch?v=p7ssviyHAe0&t=5m26s) i
laughed like a devil",NGEN
Greatly said!,NGEN
"did you have any commonsense, before marriage this society, other countries no
[matter.you](http://matter.you/) don't know about Islam that's why you do
that.faults both of you. Islam says until you apologies and own heart promise
future don't do this mistake Accept repentance.then each other should married.
if can't, (zina) after die have punishment.",NGEN
he is a hero,NGEN
Sir share top 10 movies which u think best for young generation pls,NGEN
"well done Jahangir Bai you are great ,",NGEN
"She mentioned Godi Media, now they are doing their job to debate upon. Let
debate on Modi lie on RAM leela speech.  
Ish meh b anchor included Congress again",NGEN
Nioe,NGEN
Poor acting,NGEN
869 liberal and feminist here😂😂😂,NGEN
"As all knows passion to serve nation does not bother of anything it can be
inside in anyone, army should proceed with the her protocol mandate and find
the way for all the nation builders whether they homosexual or normal, as our
apex court already decriminalized the homosexuality. As the homosexuality
somewhere in mind illness we can also go through with mandate of medical
official and other spiritual mentor.",GEN
"We watch movies to enjoy it...that's my view ... following the character or
not depends on the person himself...",NGEN
"Bhai u are true face of deshbhakt modern sanatani and a man with great human
values.",NGEN
"Swetabh sir try Tumbbad, you can get it on some OTT platform. I know bollywood
is garbage making machine but it also created gems like Love Sonia, Gali
Guleiyan, Manto.",NGEN
"I have never seen such bogus ridiculous program and you are the worst anchor
on earth ..",NGEN
"Anti national blood runs inside this witch's veins since decades nothing new
let's kick her butt once n for all",GEN
"Bro, please speak in English. I can't understand Hindi well.",NGEN
"I liked d movie...i ll gv 9/10...nd i dnt think..feminists has to say anythng
bad abt this movie...its a well made..love story...but i think u hv a major
problm wd a gender...i saw ur review on 4 more shots..u dint like it..n dint
evn try to understand it cz it was women centric...here u are understanding
all the emotioms n condition..kabir singh is goin through..i agree..what he
was goin through...no problm...bt wat is ur problm with women...in that
webseries also...the physical relationships were with a mutual
consent...fyi...n the main lead was a divorcee n alone in her life..wats bad
in it...is it bcz shez a women....u r sick trust me...u r more dangerous than
a feminists ...sick",NGEN
"When the law doesn't deliver justice, citizens take the law in hand!!!",NGEN
AR is a subversive element who should be severely dealt with,NGEN
Sucharita Tyagi (film companion),NGEN
I loved the movie,NGEN
"If you yourself will give maa bahen ki gandi gali how are you upholding
respect for women",NGEN
"Sorry Bhai..But I never share your videos because the knowledge u give is
precious..",NGEN
Stupid ranu mandol I wish she go back to how she was u poor lady not kind,NGEN
i love u,NGEN
[#Airhosess](http://www.youtube.com/results?search_query=%23Airhosess),NGEN
"@Pragya Upadhyay I know....engineering ppl are like ' u ppl don't get bored by
studying '  
I wanna punch on their face🤣",NGEN
I love you,NGEN
"Arundhati had never been a bootlicker of any political leader.The publicity
agents of the people in power can't even imagine her courage and honesty....",NGEN
"Sardard is the biggest name-caller and is now pontificating that namecalling
is not good. Hypocrite.",NGEN
Thank you,NGEN
You are right.,NGEN
I love you apu,NGEN
Was Arundhati Roy sleeping somewhere when NPR was introduced in2010.,NGEN
"I mostly never watch whole video on YouTube but your video I never escape even
I want but I can’t 😂😂",NGEN
Nice😄😆😆😆😆😆😄😄😄😄😄,NGEN
"I've been watching your videos for quite some time. Very genuine content and
great articulation.  
There's been a lot of buzz going on about this film off lately, and mahn,
you've earned yourself a subscriber today! :D - Coming from a guy who doesn't
subscribe to YouTube channels.  
Keep up the great work. Keep reviewing.  
You're amazing!  
Just a request - Could you make a video on the best thrillers to watch IYO?",NGEN
Wtl I watched this movie just today!,NGEN
Lovely review Prateekji,NGEN
Ranu mandal is not a good singer.....,NGEN
Lol..😂😂😂,NGEN
"Can you tell me how is Annual Census of India under Census Act 1948 different
from NPR?",NGEN
Sir like your reaction and your views,NGEN
@ajay singh By using this trick they are trying to divide us..,NGEN
"Gov should provide some incentive to enroll in npr nrc and magically this act
will become ppl friendly..",NGEN
English film,NGEN
Best video ever,NGEN
"NYC with video ... N now a days boys only want tht shit soo call bed tym n all
it's better...",NGEN
"how our govt going to stop this Arundhathi roy like people , We want peace and
development of our nation even opposition parties not doing any favour to
support our nation but they are bothered about their own position as present
Mody govt working to clearing all pending issues of our nation and putting our
nation into fast development.",NGEN
damn dadda you really know how to do a surgical strike,NGEN
I'm also a single lesbian😂,NGEN
Want to see mohabattein analysis,NGEN
Very interesting,NGEN
Super 30 is the movie we need,NGEN
"What you can’t stand someone trying restart their life. I think you’re fucking
jealous",NGEN
Already Reviewed 👍,NGEN
"You are true. But people should understand that they are going to watch a
movie that is only for entertainment. I think wise people don't get influenced
by such movies. People also loved the movie due to shahid kapoor's acting. He
should also play inspiring movies too. All those actors who have list of
garbage movies, also have played inspiring movies too. The only problem is
that the list of good movies are less. So, the main problem is that the most
of the people want excuse for themselves and act like movie characters. Some
people don't even realize that they are getting influenced. And some people
are followers of those group who can't speak out like swetabh sir 🤣🤣🤣🤣 even if
they know the truth 😆😆😆",NGEN
"Ranga Billa..that means ..she is either not aware of the Ranga Billa episode
or faking it...Her psyche that means she also support them...Shockingly
shameful",NGEN
I am agree with you.nice video,NGEN
"Bikash Das
7478946141",NGEN
f*** y** AG,GEN
@Not Creepy lol 😂😂😂,NGEN
🙏 no1 riwew,NGEN
"These people who talk about NRC are totally Ignorant. Please read and
understand  
Do You Want to live in a country where there is NO Register of Citizens.  
Assume if there is a Benifit of a Kind being distributed by the government to
the Citizens of India. Now where is the stand of Billa Ranga and Kung Fu
Kutta. they get Zilch.  
You Idiots think god has given you the Brains dont listen to this Arundhati
Kunf Gu bitch.",NGEN
"What's your point man!! If someone commit a crime with smiling face then it is
ok??",NGEN
"@akshay Viswambharan yea they take. And many have successful love stories too.  
But getting there and then clearing exams...then post graduation....involves a
lot of struggle.",NGEN
Keep up the good content man. Respect.,NGEN
"She was just trying to stoop to the level of Modi in a symbolic way..!!!  
She was probably meaning that to fight a seasoned Liar and cheap Thug,
sometime decent people need to stoop to his level!!!",NGEN
Great way to justify an unreal character as if he is your father,NGEN
Left librandu ........,NGEN
Rohit barman nice,NGEN
"I'm glad that someone can actually see and tell the absurdity of these kind of
movies",NGEN
"@Gaurav Shrivastav True. But Film companion has more subscribers, more
audience. If they put up such negative views on society it's better to oppose
them.",NGEN
"Kabir Singh is to feminists what Modiji is to left-liberals. They hate him but
cannot do anything because the people of India love him😂😂",NGEN
"@shahzeb khan  
  
Jehadi spoke",NGEN
GAURAV REPLY,NGEN
Nice T Shirt,NGEN
Yes so ppl like u can take dowry with an open hand.,NGEN
Good job sir....,NGEN
I also think that character of Prateek Singh was deeply flawed.,NGEN
vamshi bommena lol must be wrong choice of girl then 😆,NGEN
"I really hate the way the debate are presented why can you not have civilized
conversation let one speak mute all others. Then give chance to other to
respond and mute all others. Very frustrating to watch people yelling over
each other. It's up to the team at Republic tv to control this. I like this
program debates but the childish yelling over each other. People need to know
valid points from both sides not name calling, I would like to see India
progress and it starts with information which is the MEDIA !!! Please grow up.",NGEN
